Customer ID,Recency,Frequency,Monetary,Cluster,Cluster_Name,Marketing_Strategy
12376,25,2,503.15,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12377,17,2,1798.2,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12378,198,1,1407.7,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12379,58,2,767.98,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12380,101,7,6951.49,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12385,15,1,1938.4,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12386,2,1,258.90000000000003,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12387,51,1,143.94,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12388,81,2,1120.45,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12389,38,3,1433.33,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12391,100,5,2312.53,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12392,227,1,234.75000000000003,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12393,18,2,816.85,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12395,7,4,2048.64,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12396,310,1,931.43,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12399,21,3,853.65,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12400,50,1,205.25,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12402,28,5,1031.3,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12403,157,1,591.6600000000001,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12404,318,1,63.24,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12406,35,3,2975.06,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12408,21,3,1452.22,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12409,56,4,12346.62,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12410,138,1,320.38,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12411,45,1,346.9,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12412,38,3,1370.05,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12413,38,1,241.35,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12414,99,3,390.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12415,11,7,19543.84,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12416,292,1,202.56,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12417,46,11,3167.81,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12418,49,3,1352.62,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12419,21,2,503.01,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12421,51,2,291.56,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12422,30,14,4428.24,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12423,23,2,763.08,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12424,58,2,1579.07,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12425,84,1,964.21,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12426,298,1,762.48,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12427,7,1,303.5,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12429,1,5,3735.51,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12431,9,13,4370.52,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12433,2,5,7205.39,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12434,17,1,297.29,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12435,32,4,6096.04,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12437,31,21,7731.99,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12439,318,2,1158.18,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12440,98,2,859.2,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12441,2,1,173.55,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12443,368,1,485.31,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12445,56,1,301.58000000000004,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12449,46,2,768.6,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12450,35,3,490.32,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12451,99,3,3634.36,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12454,31,4,13151.44,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12455,81,4,3413.09,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12457,71,1,632.6800000000001,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12458,63,2,830.09,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12459,241,1,454.36,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12460,92,1,326.65,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12466,318,1,56.73,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12467,59,1,132.8,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12468,162,3,2941.2,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12469,158,2,3070.54,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12470,325,1,211.95,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12471,10,49,20139.74,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12472,5,13,11308.48,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12474,14,13,5048.66,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12475,45,1,426.26,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12476,32,12,7298.99,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12477,35,3,7056.63,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12480,35,3,2183.2200000000003,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12481,1,6,6765.07,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12482,212,29,23691.4,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12483,14,11,2635.6,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12484,119,6,1828.43,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12485,165,1,708.1,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12486,67,1,1037.28,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12487,366,1,285.3,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12490,14,11,4405.71,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12492,39,1,452.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12494,1,3,626.77,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12495,276,1,357.4,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12496,256,2,54.09,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12497,36,2,5205.400000000001,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12499,196,1,393.72,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12500,71,8,1697.39,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12503,220,1,1126.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12504,53,2,297.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12505,44,1,955.2,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12507,220,1,539.25,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12510,95,7,4195.45,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12511,64,1,3084.02,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12514,277,1,580.08,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12516,66,2,1336.56,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12519,112,1,385.7000000000001,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12523,10,12,2582.38,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12524,24,9,6640.39,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12525,134,3,973.73,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12527,130,2,386.8,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12529,164,1,316.48,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12530,51,5,2096.98,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12531,322,1,1807.98,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12533,263,2,1367.89,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12537,44,1,732.94,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12538,14,1,276.5,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12539,86,3,5646.400000000001,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12540,14,16,8854.25,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12542,120,2,481.88,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12543,84,1,980.25,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12547,136,1,175.78,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12549,211,6,1575.68,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12553,21,2,916.47,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12554,84,1,468.5,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12555,318,1,129.23,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12557,7,4,6725.18,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12562,21,2,1185.18,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12563,44,1,249.24,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12567,3,7,4308.58,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12568,280,1,70.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12570,318,1,77.52,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12573,17,4,556.87,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12575,93,2,622.82,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12576,28,3,826.89,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12577,17,5,995.95,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12578,21,2,1847.94,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12580,212,1,637.2,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12582,58,2,1469.04,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12583,9,13,7166.06,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12586,10,3,1865.73,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12588,35,3,743.88,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12589,57,6,4048.98,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12591,26,2,899.3,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12592,155,3,2145.06,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12594,14,5,1751.89,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12595,140,1,299.02,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12598,99,3,1511.01,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12599,17,6,1264.14,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12600,7,12,2444.88,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12601,40,1,104.2,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12605,12,4,1232.95,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12606,318,1,21.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12608,40,1,415.79,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12609,10,6,2309.01,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12613,24,5,3490.69,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12615,49,4,3449.79,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12616,24,1,417.8,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12619,196,1,140.14,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12621,1,16,11086.14,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12623,52,6,3442.74,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12625,145,2,2481.06,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12629,21,2,1558.22,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12631,92,5,2841.07,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12632,156,2,804.88,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12633,18,3,3514.18,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12634,171,2,490.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12635,28,2,1241.23,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12636,374,1,141.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12637,14,4,2318.41,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12638,275,1,249.8,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12639,70,2,826.27,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12643,21,6,5005.78,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12644,66,3,1440.58,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12645,45,4,1764.12,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12647,3,27,14201.53,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12648,73,3,793.95,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12649,18,5,1671.14,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12651,14,3,263.75,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12652,70,1,97.05,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12653,162,1,1950.98,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12655,59,1,261.35,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12656,61,3,2356.66,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12661,72,1,162.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12662,9,10,3138.24,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12663,260,2,239.4,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12664,150,2,1188.16,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12665,53,2,250.6,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12666,30,1,1248.42,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12668,14,6,7637.53,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12670,21,2,764.24,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12671,242,1,2622.481,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12672,231,1,211.15,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12673,37,1,619.5,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12675,189,2,958.5,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12676,44,5,1511.7,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12677,191,2,395.1,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12678,11,9,16652.72,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12681,3,24,17080.74,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12682,1,23,11745.69,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12683,1,8,4220.21,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12686,7,1,89.14,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12687,116,2,2138.91,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12691,56,1,134.6,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12692,273,1,110.95,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12693,32,3,847.11,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12694,57,1,973.68,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12695,164,3,825.02,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12696,70,2,851.91,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12698,226,1,339.75,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12699,53,1,638.11,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12701,165,4,1648.7,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12703,269,3,722.98,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12705,19,5,4893.81,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12708,4,9,2601.19,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12709,2,20,21356.82,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12711,247,2,1339.05,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12712,1,10,2797.53,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12714,24,7,9384.85,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12717,226,1,277.93,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12720,5,6,2478.94,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12721,21,2,1356.95,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12724,19,3,1286.11,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12725,7,4,2266.76,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12726,23,4,1405.5,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12727,78,3,1698.8300000000002,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12728,19,1,233.84,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12730,157,1,829.25,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12731,78,5,6879.8,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12733,25,3,2040.92,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12734,10,2,529.25,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12737,134,2,3710.5,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12738,8,1,155.35,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12739,21,2,1713.69,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12741,165,2,406.07,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12742,261,1,1201.52,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12744,95,4,4037.77,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12745,122,3,925.41,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12746,176,1,254.55,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12747,5,16,5080.53,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12748,1,144,22879.66,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12749,35,4,2806.48,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12751,80,1,268.27,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12755,1,10,5218.71,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12758,95,5,7111.650000000001,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12759,22,5,3489.3,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12760,91,1,347.8,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12761,93,2,782.95,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12763,5,1,320.08,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12765,108,6,1404.58,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12766,2,3,3078.65,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12767,11,1,949.82,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12768,86,1,168.69,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12770,92,1,1895.0,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12771,121,1,282.3,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12773,200,1,124.25,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12774,171,1,98.7,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12775,24,2,300.08000000000004,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12776,303,1,55.5,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12777,93,1,519.45,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12778,32,3,953.45,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12779,7,7,2740.91,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12780,234,1,337.4,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12782,10,6,2287.32,0,VIP Customers,"Personalized service, Early access to new products, No discounts needed."
12784,165,1,1230.33,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12785,171,2,788.45,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12786,245,1,728.5000000000001,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12787,49,1,398.52,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12788,99,4,444.9,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12789,148,2,181.5,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12790,46,1,266.93,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
