Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12573,17,4,556.87,4,4,3,Loyal Customers
12575,93,2,622.82,2,2,3,Hibernating
12576,28,3,826.89,4,3,3,Potential Loyalists
12577,17,5,995.95,4,4,4,Loyal Customers
12578,21,2,1847.94,4,2,4,Potential Loyalists
12580,212,1,637.2,1,1,3,Hibernating
12582,58,2,1469.04,3,2,4,About to Sleep
12583,9,13,7166.06,5,5,5,Champions
12586,10,3,1865.73,5,3,4,Potential Loyalists
12588,35,3,743.88,4,3,3,Potential Loyalists
12589,57,6,4048.98,3,4,5,Loyal Customers
12591,26,2,899.3,4,2,3,Potential Loyalists
12592,155,3,2145.06,2,3,4,At Risk
12594,14,5,1751.89,5,4,4,Champions
12595,140,1,299.02,2,1,2,Hibernating
12598,99,3,1511.01,2,3,4,At Risk
12599,17,6,1264.14,4,4,4,Loyal Customers
12600,7,12,2444.88,5,5,5,Champions
12601,40,1,104.2,3,1,1,About to Sleep
12605,12,4,1232.95,5,4,4,Champions
12606,318,1,21.0,1,1,1,Hibernating
12608,40,1,415.79,3,1,2,About to Sleep
12609,10,6,2309.01,5,4,5,Champions
12613,24,5,3490.69,4,4,5,Loyal Customers
12615,49,4,3449.79,3,4,5,Loyal Customers
12616,24,1,417.8,4,1,2,Promising
12619,196,1,140.14,1,1,1,Hibernating
12621,1,16,11086.14,5,5,5,Champions
12623,52,6,3442.74,3,4,5,Loyal Customers
12625,145,2,2481.06,2,2,5,Hibernating
12629,21,2,1558.22,4,2,4,Potential Loyalists
12631,92,5,2841.07,2,4,5,At Risk
12632,156,2,804.88,2,2,3,Hibernating
12633,18,3,3514.18,4,3,5,Potential Loyalists
12634,171,2,490.0,2,2,2,Hibernating
12635,28,2,1241.23,4,2,4,Potential Loyalists
12636,374,1,141.0,1,1,1,Hibernating
12637,14,4,2318.41,5,4,5,Champions
12638,275,1,249.8,1,1,1,Hibernating
12639,70,2,826.27,3,2,3,About to Sleep
12643,21,6,5005.78,4,4,5,Loyal Customers
12644,66,3,1440.58,3,3,4,Need Attention
12645,45,4,1764.12,3,4,4,Loyal Customers
12647,3,27,14201.53,5,5,5,Champions
12648,73,3,793.95,2,3,3,At Risk
12649,18,5,1671.14,4,4,4,Loyal Customers
12651,14,3,263.75,5,3,2,Potential Loyalists
12652,70,1,97.05,3,1,1,About to Sleep
12653,162,1,1950.98,2,1,4,Hibernating
12655,59,1,261.35,3,1,2,About to Sleep
12656,61,3,2356.66,3,3,5,Need Attention
12661,72,1,162.0,2,1,1,Hibernating
12662,9,10,3138.24,5,5,5,Champions
12663,260,2,239.4,1,2,1,Hibernating
12664,150,2,1188.16,2,2,4,Hibernating
12665,53,2,250.6,3,2,1,About to Sleep
12666,30,1,1248.42,4,1,4,Promising
12668,14,6,7637.53,5,4,5,Champions
12670,21,2,764.24,4,2,3,Potential Loyalists
12671,242,1,2622.481,1,1,5,Hibernating
12672,231,1,211.15,1,1,1,Hibernating
12673,37,1,619.5,3,1,3,About to Sleep
12675,189,2,958.5,1,2,3,Hibernating
12676,44,5,1511.7,3,4,4,Loyal Customers
12677,191,2,395.1,1,2,2,Hibernating
12678,11,9,16652.72,5,5,5,Champions
12681,3,24,17080.74,5,5,5,Champions
12682,1,23,11745.69,5,5,5,Champions
12683,1,8,4220.21,5,5,5,Champions
12686,7,1,89.14,5,1,1,New Customers
12687,116,2,2138.91,2,2,4,Hibernating
12691,56,1,134.6,3,1,1,About to Sleep
12692,273,1,110.95,1,1,1,Hibernating
12693,32,3,847.11,4,3,3,Potential Loyalists
12694,57,1,973.68,3,1,3,About to Sleep
12695,164,3,825.02,2,3,3,At Risk
12696,70,2,851.91,3,2,3,About to Sleep
12698,226,1,339.75,1,1,2,Hibernating
12699,53,1,638.11,3,1,3,About to Sleep
12701,165,4,1648.7,2,4,4,At Risk
12703,269,3,722.98,1,3,3,At Risk
12705,19,5,4893.81,4,4,5,Loyal Customers
12708,4,9,2601.19,5,5,5,Champions
12709,2,20,21356.82,5,5,5,Champions
12711,247,2,1339.05,1,2,4,Hibernating
12712,1,10,2797.53,5,5,5,Champions
12714,24,7,9384.85,4,5,5,Loyal Customers
12717,226,1,277.93,1,1,2,Hibernating
12720,5,6,2478.94,5,4,5,Champions
12721,21,2,1356.95,4,2,4,Potential Loyalists
12724,19,3,1286.11,4,3,4,Potential Loyalists
12725,7,4,2266.76,5,4,5,Champions
12726,23,4,1405.5,4,4,4,Loyal Customers
12727,78,3,1698.8300000000002,2,3,4,At Risk
12728,19,1,233.84,4,1,1,Promising
12730,157,1,829.25,2,1,3,Hibernating
12731,78,5,6879.8,2,4,5,At Risk
12733,25,3,2040.92,4,3,4,Potential Loyalists
12734,10,2,529.25,5,2,3,Potential Loyalists
12737,134,2,3710.5,2,2,5,Hibernating
12738,8,1,155.35,5,1,1,New Customers
12739,21,2,1713.69,4,2,4,Potential Loyalists
12741,165,2,406.07,2,2,2,Hibernating
12742,261,1,1201.52,1,1,4,Hibernating
12744,95,4,4037.77,2,4,5,At Risk
12745,122,3,925.41,2,3,3,At Risk
12746,176,1,254.55,2,1,2,Hibernating
12747,5,16,5080.53,5,5,5,Champions
12748,1,144,22879.66,5,5,5,Champions
12749,35,4,2806.48,4,4,5,Loyal Customers
12751,80,1,268.27,2,1,2,Hibernating
12755,1,10,5218.71,5,5,5,Champions
12758,95,5,7111.650000000001,2,4,5,At Risk
12759,22,5,3489.3,4,4,5,Loyal Customers
12760,91,1,347.8,2,1,2,Hibernating
12761,93,2,782.95,2,2,3,Hibernating
12763,5,1,320.08,5,1,2,New Customers
12765,108,6,1404.58,2,4,4,At Risk
12766,2,3,3078.65,5,3,5,Potential Loyalists
12767,11,1,949.82,5,1,3,New Customers
12768,86,1,168.69,2,1,1,Hibernating
12770,92,1,1895.0,2,1,4,Hibernating
12771,121,1,282.3,2,1,2,Hibernating
12773,200,1,124.25,1,1,1,Hibernating
12774,171,1,98.7,2,1,1,Hibernating
12775,24,2,300.08000000000004,4,2,2,Potential Loyalists
12776,303,1,55.5,1,1,1,Hibernating
12777,93,1,519.45,2,1,3,Hibernating
12778,32,3,953.45,4,3,3,Potential Loyalists
12779,7,7,2740.91,5,5,5,Champions
12780,234,1,337.4,1,1,2,Hibernating
12782,10,6,2287.32,5,4,5,Champions
12784,165,1,1230.33,2,1,4,Hibernating
12785,171,2,788.45,2,2,3,Hibernating
12786,245,1,728.5000000000001,1,1,3,Hibernating
12787,49,1,398.52,3,1,2,About to Sleep
12788,99,4,444.9,2,4,2,At Risk
12789,148,2,181.5,2,2,1,Hibernating
12790,46,1,266.93,3,1,2,About to Sleep
12791,9,6,863.51,5,4,3,Champions
12792,170,1,426.47,2,1,2,Hibernating
12793,7,2,471.85,5,2,2,Potential Loyalists
12796,264,1,381.0,1,1,2,Hibernating
12797,1,2,552.08,5,2,3,Potential Loyalists
12798,57,1,1533.89,3,1,4,About to Sleep
12799,165,1,219.35,2,1,1,Hibernating
12800,106,3,584.25,2,3,3,At Risk
12801,136,1,1071.82,2,1,4,Hibernating
12802,78,6,1988.84,2,4,4,At Risk
12803,29,1,1092.81,4,1,4,Promising
12804,101,2,327.02,2,2,2,Hibernating
12805,17,4,1434.95,4,4,4,Loyal Customers
12806,71,4,2878.96,3,4,5,Loyal Customers
12807,19,1,330.35,4,1,2,Promising
12808,4,3,422.45,5,3,2,Potential Loyalists
12809,201,2,1266.63,1,2,4,Hibernating
12810,170,2,534.99,2,2,3,Hibernating
12811,14,2,519.0500000000001,5,2,3,Potential Loyalists
12813,137,3,1687.8,2,3,4,At Risk
12817,35,2,524.94,4,2,3,Potential Loyalists
12819,94,1,540.52,2,1,3,Hibernating
12820,33,7,1747.18,4,5,4,Loyal Customers
12821,247,1,128.08,1,1,1,Hibernating
12823,30,13,4742.0,4,5,5,Loyal Customers
12825,157,2,518.63,2,2,3,Hibernating
12826,1,6,1481.03,5,4,4,Champions
12829,186,1,92.3,1,1,1,Hibernating
12831,99,2,236.06,2,2,1,Hibernating
12835,63,41,6043.31,3,5,5,Loyal Customers
12836,25,11,3972.76,4,5,5,Loyal Customers
12837,205,1,554.31,1,1,3,Hibernating
12838,9,9,2715.35,5,5,5,Champions
12839,3,13,4480.31,5,5,5,Champions
12840,73,3,1315.2,2,3,4,At Risk
12841,5,17,3518.33,5,5,5,Champions
12842,40,2,799.0,3,2,3,About to Sleep
12843,18,22,4886.15,4,5,5,Loyal Customers
12844,78,2,322.64,2,2,2,Hibernating
12846,318,1,15.58,1,1,1,Hibernating
12847,23,1,765.36,4,1,3,Promising
12848,311,1,208.0,1,1,1,Hibernating
12849,17,4,2039.67,4,4,4,Loyal Customers
12850,81,1,330.0,2,1,2,Hibernating
12851,113,1,148.95,2,1,1,Hibernating
12853,63,5,1950.4,3,4,4,Loyal Customers
12854,197,4,1669.52,1,4,4,At Risk
12855,8,4,612.84,5,4,3,Champions
12857,72,4,2581.6,2,4,5,At Risk
12858,19,1,177.92,4,1,1,Promising
12859,94,1,575.1,2,1,3,Hibernating
12860,329,1,55.47,1,1,1,Hibernating
12861,255,1,68.25,1,1,1,Hibernating
12862,61,2,1008.32,3,2,4,About to Sleep
12863,15,5,2271.35,5,4,5,Champions
12864,144,1,152.45,2,1,1,Hibernating
12865,14,2,1755.24,5,2,4,Potential Loyalists
12866,110,2,668.23,2,2,3,Hibernating
12867,33,6,3876.47,4,4,5,Loyal Customers
12868,9,3,640.0,5,3,3,Potential Loyalists
12869,317,1,337.67,1,1,2,Hibernating
12870,11,3,1676.95,5,3,4,Potential Loyalists
12871,75,1,363.38,2,1,2,Hibernating
12872,1,11,3085.52,5,5,5,Champions
12873,33,2,1653.3,4,2,4,Potential Loyalists
12874,21,2,948.42,4,2,3,Potential Loyalists
12875,107,3,1013.76,2,3,4,At Risk
12876,30,2,1863.77,4,2,4,Potential Loyalists
12877,37,8,1419.4,3,5,4,Loyal Customers
12880,17,2,640.13,4,2,3,Potential Loyalists
12887,19,1,222.4,4,1,1,Promising
12889,17,4,385.46,4,4,2,Loyal Customers
12890,23,1,336.8,4,1,2,Promising
12891,94,8,509.5,2,5,3,Can't Loose Them
12892,32,1,263.38,4,1,2,Promising
12894,211,1,157.35,1,1,1,Hibernating
12897,17,2,297.75,4,2,2,Potential Loyalists
12898,99,2,310.96,2,2,2,Hibernating
12899,49,1,366.4,3,1,2,About to Sleep
12900,58,1,340.33000000000004,3,1,2,About to Sleep
12903,64,1,833.5300000000001,3,1,3,About to Sleep
12905,212,2,1018.42,1,2,4,Hibernating
12907,31,2,508.91,4,2,3,Potential Loyalists
12908,16,3,1026.0,4,3,4,Potential Loyalists
12909,60,3,924.52,3,3,3,Need Attention
12910,15,5,2721.48,5,4,5,Champions
12911,187,1,1680.47,1,1,4,Hibernating
12913,4,9,4217.23,5,5,5,Champions
12914,36,1,223.98,4,1,1,Promising
12915,8,3,811.1,5,3,3,Potential Loyalists
12916,78,3,1647.87,2,3,4,At Risk
12917,36,5,3765.2,4,4,5,Loyal Customers
12918,262,1,10953.5,1,1,5,Hibernating
12920,207,3,323.86,1,3,2,At Risk
12921,2,39,19333.95,5,5,5,Champions
12923,26,2,612.9,4,2,3,Potential Loyalists
12924,29,8,1535.7,4,5,4,Loyal Customers
12925,228,1,35.28,1,1,1,Hibernating
12926,47,4,1548.46,3,4,4,Loyal Customers
12927,30,1,197.31,4,1,1,Promising
12928,14,7,2242.19,5,5,5,Champions
12931,16,42,50291.38,4,5,5,Loyal Customers
12932,175,8,1698.56,2,5,4,Can't Loose Them
12933,16,5,1079.5,4,4,4,Loyal Customers
12934,372,1,181.65,1,1,1,Hibernating
12935,11,8,2083.16,5,5,4,Champions
12937,99,5,1593.34,2,4,4,At Risk
12939,15,12,13683.0,5,5,5,Champions
12941,360,1,377.49,1,1,2,Hibernating
12942,1,1,258.75,5,1,2,New Customers
12943,194,2,496.5,1,2,2,Hibernating
12945,292,1,437.16,1,1,2,Hibernating
12946,72,1,324.45,2,1,2,Hibernating
12947,9,1,304.04,5,1,2,New Customers
12948,366,2,252.48,1,2,1,Hibernating
12949,18,14,11359.48,4,5,5,Loyal Customers
12951,22,9,2149.65,4,5,5,Loyal Customers
12953,158,1,498.96,2,1,2,Hibernating
12954,274,1,162.45,1,1,1,Hibernating
12956,320,3,413.82,1,3,2,At Risk
12957,177,5,4689.43,1,4,5,At Risk
12958,36,2,539.49,4,2,3,Potential Loyalists
12959,120,1,150.95,2,1,1,Hibernating
12960,49,4,1322.0700000000002,3,4,4,Loyal Customers
12961,15,1,211.99,5,1,1,New Customers
12963,1,5,1744.96,5,4,4,Champions
12964,73,1,132.24,2,1,1,Hibernating
12967,7,2,2646.02,5,2,5,Potential Loyalists
12969,238,1,122.45,1,1,1,Hibernating
12970,16,6,1072.73,4,4,4,Loyal Customers
12971,2,33,4782.88,5,5,5,Champions
12972,49,4,1161.2,3,4,4,Loyal Customers
12973,49,1,385.55,3,1,2,About to Sleep
12974,201,1,264.15,1,1,2,Hibernating
12975,72,6,2100.09,2,4,4,At Risk
12976,14,7,2417.78,5,5,5,Champions
12977,137,3,478.39,2,3,2,At Risk
12978,21,5,2502.82,4,4,5,Loyal Customers
12979,365,1,517.7,1,1,3,Hibernating
12980,22,12,8870.880000000001,4,5,5,Loyal Customers
12982,30,7,2354.27,4,5,5,Loyal Customers
12983,234,1,490.08,1,1,2,Hibernating
12986,64,10,2729.84,3,5,5,Loyal Customers
12987,56,3,753.51,3,3,3,Need Attention
12989,60,18,6627.64,3,5,5,Loyal Customers
12990,53,4,546.0,3,4,3,Loyal Customers
12991,25,1,261.06,4,1,2,Promising
12992,361,1,93.35,1,1,1,Hibernating
12993,81,4,844.87,2,4,3,At Risk
12996,11,1,355.5,5,1,2,New Customers
12997,30,4,884.02,4,4,3,Loyal Customers
12998,128,3,920.08,2,3,3,At Risk
13000,361,1,497.65,1,1,2,Hibernating
13001,40,20,14353.28,3,5,5,Loyal Customers
13002,52,2,293.18,3,2,2,About to Sleep
13004,22,18,5994.94,4,5,5,Loyal Customers
13005,67,2,485.98,3,2,2,About to Sleep
13007,215,1,175.25,1,1,1,Hibernating
13008,33,2,382.66,4,2,2,Potential Loyalists
13009,308,1,234.0,1,1,1,Hibernating
13010,10,2,330.12,5,2,2,Potential Loyalists
13011,8,1,50.55,5,1,1,New Customers
13012,65,3,1310.99,3,3,4,Need Attention
13013,7,18,7814.83,5,5,5,Champions
13014,68,1,1914.8,3,1,4,About to Sleep
13015,74,6,3240.14,2,4,5,At Risk
13018,49,7,2485.46,3,5,5,Loyal Customers
13019,15,6,1229.95,5,4,4,Champions
13020,198,2,618.96,1,2,3,Hibernating
13021,10,8,2270.86,5,5,5,Champions
13022,65,1,65.3,3,1,1,About to Sleep
13023,164,1,759.13,2,1,3,Hibernating
13024,106,2,555.87,2,2,3,Hibernating
13025,367,1,323.39,1,1,2,Hibernating
13026,124,4,757.72,2,4,3,At Risk
13027,21,13,10423.2,4,5,5,Loyal Customers
13029,10,2,679.8,5,2,3,Potential Loyalists
13030,4,1,427.74,5,1,2,New Customers
13031,43,5,3419.27,3,4,5,Loyal Customers
13032,28,7,1833.37,4,5,4,Loyal Customers
13033,65,1,30.0,3,1,1,About to Sleep
13034,5,2,279.91,5,2,2,Potential Loyalists
13035,67,1,442.32,3,1,2,About to Sleep
13036,320,1,307.1,1,1,2,Hibernating
13037,35,9,3033.88,4,5,5,Loyal Customers
13039,220,4,1010.73,1,4,4,At Risk
13041,86,4,799.13,2,4,3,At Risk
13042,234,3,1556.54,1,3,4,At Risk
13044,128,10,4293.43,2,5,5,Can't Loose Them
13045,37,2,503.64,3,2,2,About to Sleep
13046,92,1,319.94,2,1,2,Hibernating
13047,9,17,5557.62,5,5,5,Champions
13048,72,5,2248.3,2,4,5,At Risk
13049,25,2,751.5600000000001,4,2,3,Potential Loyalists
13050,2,19,6507.67,5,5,5,Champions
13051,214,2,155.8,1,2,1,Hibernating
13052,56,6,2820.38,3,4,5,Loyal Customers
13053,257,1,127.65,1,1,1,Hibernating
13055,65,1,1106.7,3,1,4,About to Sleep
13056,187,1,209.48,1,1,1,Hibernating
13057,166,3,722.09,2,3,3,At Risk
13059,49,9,2119.77,3,5,4,Loyal Customers
13063,116,1,188.4,2,1,1,Hibernating
13064,186,2,561.25,1,2,3,Hibernating
13065,9,5,1055.05,5,4,4,Champions
13067,45,2,393.05,3,2,2,About to Sleep
13069,5,16,5247.01,5,5,5,Champions
13070,95,3,522.9,2,3,3,At Risk
13071,248,1,129.22,1,1,1,Hibernating
13073,47,2,418.08,3,2,2,About to Sleep
13074,147,4,1378.74,2,4,4,At Risk
13076,93,1,135.4,2,1,1,Hibernating
13077,2,8,2335.4,5,5,5,Champions
13078,2,32,16904.51,5,5,5,Champions
13079,53,1,199.08,3,1,1,About to Sleep
13080,37,3,222.65,3,3,1,Need Attention
13081,7,19,30867.77,5,5,5,Champions
13082,60,12,3722.12,3,5,5,Loyal Customers
13083,61,1,91.68,3,1,1,About to Sleep
13084,127,1,122.4,2,1,1,Hibernating
13085,315,6,2017.2,1,4,4,At Risk
13086,18,1,439.33,4,1,2,Promising
13087,362,1,313.64,1,1,2,Hibernating
13088,53,1,236.11,3,1,1,About to Sleep
13089,4,109,57912.03,5,5,5,Champions
13090,1,13,5192.27,5,5,5,Champions
13091,365,2,1976.0,1,2,4,Hibernating
13092,50,7,1662.45,3,5,4,Loyal Customers
13093,9,48,47111.18,5,5,5,Champions
13094,4,2,505.80000000000007,5,2,2,Potential Loyalists
13096,30,1,419.7000000000001,4,1,2,Promising
13097,24,18,7378.8,4,5,5,Loyal Customers
13101,134,3,594.21,2,3,3,At Risk
13102,1,14,5272.83,5,5,5,Champions
13103,73,2,465.7000000000001,2,2,2,Hibernating
13104,51,3,610.62,3,3,3,Need Attention
13105,72,1,72.0,2,1,1,Hibernating
13106,49,1,526.96,3,1,3,About to Sleep
13107,49,5,3721.45,3,4,5,Loyal Customers
13108,8,2,748.46,5,2,3,Potential Loyalists
13109,187,1,347.49,1,1,2,Hibernating
13110,73,5,1468.8,2,4,4,At Risk
13111,354,1,321.88000000000005,1,1,2,Hibernating
13112,177,1,20.6,1,1,1,Hibernating
13113,2,14,6379.77,5,5,5,Champions
13114,366,1,234.38,1,1,1,Hibernating
13115,15,6,3199.92,5,4,5,Champions
13117,1,12,1658.9,5,5,4,Champions
13118,12,4,1217.6,5,4,4,Champions
13119,304,1,134.9,1,1,1,Hibernating
13123,108,2,506.75,2,2,3,Hibernating
13124,21,1,916.12,4,1,3,Promising
13125,159,1,158.57,2,1,1,Hibernating
13126,2,7,1898.61,5,5,4,Champions
13128,267,1,263.5,1,1,2,Hibernating
13129,88,2,233.25,2,2,1,Hibernating
13131,54,4,2240.4700000000003,3,4,5,Loyal Customers
13133,95,1,90.65,2,1,1,Hibernating
13134,38,2,681.65,3,2,3,About to Sleep
13135,127,1,275.45,2,1,2,Hibernating
13136,11,8,3666.95,5,5,5,Champions
13137,22,8,4062.29,4,5,5,Loyal Customers
13138,8,2,504.85,5,2,2,Potential Loyalists
13139,73,1,3138.04,2,1,5,Hibernating
13140,2,3,791.96,5,3,3,Potential Loyalists
13141,21,12,5279.83,4,5,5,Loyal Customers
13143,220,1,405.1,1,1,2,Hibernating
13144,67,1,24.4,3,1,1,About to Sleep
13145,8,4,805.0,5,4,3,Champions
13148,25,14,4914.6900000000005,4,5,5,Loyal Customers
13150,120,3,449.97,2,3,2,At Risk
13151,261,2,1322.87,1,2,4,Hibernating
13152,53,7,2146.38,3,5,5,Loyal Customers
13154,35,3,1624.84,4,3,4,Potential Loyalists
13155,4,3,778.4200000000001,5,3,3,Potential Loyalists
13156,21,3,1586.54,4,3,4,Potential Loyalists
13157,45,5,3946.14,3,4,5,Loyal Customers
13158,24,1,307.12,4,1,2,Promising
13161,136,1,366.13,2,1,2,Hibernating
13162,16,12,7587.2,4,5,5,Loyal Customers
13163,246,1,17.65,1,1,1,Hibernating
13164,205,2,372.2,1,2,2,Hibernating
13165,49,1,429.68,3,1,2,About to Sleep
13166,50,1,466.98,3,1,2,About to Sleep
13167,26,1,333.82,4,1,2,Promising
13168,178,1,556.12,1,1,3,Hibernating
13169,198,1,127.2,1,1,1,Hibernating
13172,36,1,69.6,4,1,1,Promising
13173,3,10,2285.7,5,5,5,Champions
13174,5,10,6677.81,5,5,5,Champions
13175,218,2,831.45,1,2,3,Hibernating
13177,66,1,229.75,3,1,1,About to Sleep
13178,33,10,8333.72,4,5,5,Loyal Customers
13179,254,1,572.3100000000001,1,1,3,Hibernating
13180,243,1,86.10000000000001,1,1,1,Hibernating
13181,17,1,359.69,4,1,2,Promising
13183,30,6,3078.4,4,4,5,Loyal Customers
13187,260,3,130.99,1,3,1,At Risk
13190,180,3,570.66,1,3,3,At Risk
